 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 17/05/23 A 17/05/23                      17/05/23   11:08   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: alyfer--------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

     32  11329921000119 LEANDRO ARAUJO ALBUQUERQ CAMPO GRANDE    CONDESSA DE SAO JOAQ        11       1,175         211,86   1,46   0,89   0,68  93,98  93,98   153     5,72  A02
     33  11352253000140 SANTOS E LOUVEIRO LTDA M CAMPO GRANDE    RUA ANTONIO DE MORAI         3       1,532         200,87   0,48   1,16   0,65  94,63  94,63   155     7,72  A02
     34  38075613000160 GILVAN LINO DA SILVA     CAMPO GRANDE    CARLOTA MASSA FARINA         4       0,583         194,35   0,55   0,44   0,63  95,26  95,26   459     7,19  A14
     35   5700479000192 DAVI FALKOWSKI           CAMPO GRANDE    JOAO TELES                   4       1,282         189,11   0,53   0,97   0,61  95,88  95,88   151     4,29  A14
     36  10631874000109 DIAS E GUNDIM LTDA       CAMPO GRANDE    JULIA MAKSOUD                3       0,516         182,45   0,45   0,39   0,59  96,47  96,47   455     5,52  456
     37  15798201000153 GABRIELA DOS REIS SANTOS CAMPO GRANDE    RUA SOUTO MAIOR              3       0,711         157,63   0,45   0,54   0,51  96,99  96,99   451     1,51  A14
     38  39232955000100 ELAINE FERREIRA VAZ      CAMPO GRANDE    RUA MURICI                   2       0,625         157,56   0,30   0,47   0,51  97,50  97,50   457     2,28  456
     39   9497651000103 PEREIRA E GAZOLLA PROD A CAMPO GRANDE    DOS RECIFES                  7       0,700         154,26   0,92   0,53   0,50  98,00  98,00   151     3,02  A02
     40  16514485000171 SARA CRISTINA DUARTE TOR CAMPO GRANDE    RUA FRANK SINATRA            8       1,000         150,50   1,06   0,76   0,48  98,49  98,49   459     2,78  456
     41  86888708000146 ROUXINOIS COMERCIO DE AL CAMPO GRANDE    RUA EDCEL M NOGUEIRA         2       0,586         134,59   0,34   0,44   0,43  98,93  98,93   459     4,98  A14
     42  18562229000185 RONALDO CLAUSS EIRELI    CAMPO GRANDE    CASSIM CONTAR                5       0,950         113,98   0,68   0,72   0,37  99,30  99,30   153     4,07  A14
     43  19373399000184 IVOLIN KAPPELER FLORES   CAMPO GRANDE    RUA DA PATRIA                2       0,594         109,08   0,27   0,45   0,35  99,65  99,65   451     1,01  A14
     44   7719377000144 LUZIA DE LURDES BISPO    CAMPO GRANDE    RUA BRASIL 1453              2       0,499         105,22   0,32   0,38   0,34 100,00 100,00   455     2,19  456

                                                              Total destes clientes:        775     131,024      30.746,55 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        775     131,024      30.746,55 100,00 100,00 100,00 100,00 100,00
